Colonne1,code_region,region_x,continent,annee,agriculture,autres_sources,dechets,foret,procedes_industriels_utilisation_produits,secteur_residentiel_commercial_institutionnel_AFP,source_utilisation_terres,transport,energies,emissions_totale,variation_temperature,ecart_type,region,population_totale
376,5501,Australie et Nouvelle-Z√©lande,Océanie,1990,200136.2637,4927.5962,13945.8238,-32587.409,19314.8338,17680.66,12269.9855,71304.9555,222580.4276,529573.1370999999,0.52,0.31,Australie et Nouvelle-Z√©lande,20358769.0
377,5501,Australie et Nouvelle-Z√©lande,Océanie,1991,197793.1081,5648.4031,14308.8901,-32587.8855,18781.3956,18040.155,12270.462,69850.3963,227427.9056,531532.8303,0.754,0.31,Australie et Nouvelle-Z√©lande,20635410.0
378,5501,Australie et Nouvelle-Z√©lande,Océanie,1992,194142.7147,4920.4581,14432.5927,-32588.3572,18223.4861,18502.7698,12270.9337,71781.2902,232699.7677,534385.6558000001,0.168,0.31,Australie et Nouvelle-Z√©lande,20905354.0
379,5501,Australie et Nouvelle-Z√©lande,Océanie,1993,191711.2242,4383.1897,14823.7391,-32588.8243,18499.4322,19156.9209,12271.4008,73231.8931,234140.3348,535629.3105,0.426,0.31,Australie et Nouvelle-Z√©lande,21167668.999999996
380,5501,Australie et Nouvelle-Z√©lande,Océanie,1994,194165.0301,6504.2502,14723.1564,-32589.2868,18572.9704,19118.1167,12271.8633,75591.0628,231978.7524,540335.9155,0.21600000000000003,0.31,Australie et Nouvelle-Z√©lande,21421807.999999996
381,5501,Australie et Nouvelle-Z√©lande,Océanie,1995,192741.5014,4435.7798,14943.3291,-32589.7448,19196.3213,19941.2651,12272.3213,78997.6644,237929.7263,547868.1639,0.381,0.31,Australie et Nouvelle-Z√©lande,21668010.0
382,5501,Australie et Nouvelle-Z√©lande,Océanie,1996,183203.8978,4488.0873,14019.9308,-32590.1983,19644.2753,20104.1808,13566.8117,81712.4217,252201.4768,556350.8839,0.5329999999999999,0.31,Australie et Nouvelle-Z√©lande,21906626.0
383,5501,Australie et Nouvelle-Z√©lande,Océanie,1997,181756.0152,4990.4899,14107.595,-32590.6475,19586.5163,20367.1289,16104.3249,83425.1049,271412.4778,579159.0054,0.302,0.31,Australie et Nouvelle-Z√©lande,22139576.0
384,5501,Australie et Nouvelle-Z√©lande,Océanie,1998,187580.295,4527.5149,13633.9925,-32591.0923,20708.5217,20730.2743,14503.6293,83675.3542,291326.92,604095.4096,0.932,0.31,Australie et Nouvelle-Z√©lande,22370995.0
385,5501,Australie et Nouvelle-Z√©lande,Océanie,1999,217738.87600000002,5133.2028,13839.0437,-32591.5328,21260.7955,20839.9204,16355.7524,85449.7782,297844.9083,645870.7445,0.619,0.31,Australie et Nouvelle-Z√©lande,22606317.000000004
386,5501,Australie et Nouvelle-Z√©lande,Océanie,2000,233300.6059,6063.3443,13911.055,-32591.9692,23480.7996,20749.9944,11242.2523,88320.644,299896.3032,664373.0295,0.20600000000000002,0.31,Australie et Nouvelle-Z√©lande,22850430.0
387,5501,Australie et Nouvelle-Z√©lande,Océanie,2001,233501.1134,6789.3045,14139.9699,-53636.4805,23456.8247,21193.7045,87612.8525,87733.7676,306786.3347,727577.3913,0.175,0.31,Australie et Nouvelle-Z√©lande,23102605.0
388,5501,Australie et Nouvelle-Z√©lande,Océanie,2002,225109.5776,6470.4033,14420.677,-53676.343,23065.0146,22847.7235,87810.2278,90584.8009,315464.4105,732096.4922,0.406,0.31,Australie et Nouvelle-Z√©lande,23364574.0
389,5501,Australie et Nouvelle-Z√©lande,Océanie,2003,164150.3031,6347.9507,13858.6354,-53716.3386,25890.1774,23911.318,95911.3756,92952.8721,318754.2779,688060.5715999999,0.72,0.31,Australie et Nouvelle-Z√©lande,23646235.0
390,5501,Australie et Nouvelle-Z√©lande,Océanie,2004,196163.0367,5141.4941,13586.632,-53756.4682,26770.8178,24629.2621,83948.2074,93085.3888,336969.6574,726538.0281,0.66,0.31,Australie et Nouvelle-Z√©lande,23960087.000000004
391,5501,Australie et Nouvelle-Z√©lande,Océanie,2005,164798.1617,4151.608,13633.4931,-53796.7325,27391.3703,25684.0013,83868.7052,94691.5377,356487.7945,716909.9393,1.05,0.31,Australie et Nouvelle-Z√©lande,24313895.0
392,5501,Australie et Nouvelle-Z√©lande,Océanie,2006,192337.1625,3483.5438,13619.7451,-240875.9429,29017.6801,25021.7793,235284.6109,92685.5923,362097.2284,712671.3995,0.701,0.31,Australie et Nouvelle-Z√©lande,24712191.000000004
393,5501,Australie et Nouvelle-Z√©lande,Océanie,2007,180297.7859,6242.9564,14081.8669,-242420.35100000002,30036.4346,24196.9861,230635.5266,94125.0018,363295.1222,700491.3295,0.915,0.31,Australie et Nouvelle-Z√©lande,25149390.0
394,5501,Australie et Nouvelle-Z√©lande,Océanie,2008,155438.7691,3256.3822,14401.5997,-243986.323,30662.6673,24588.7981,228286.5241,96465.0021,375622.3782,684735.7978,0.54,0.31,Australie et Nouvelle-Z√©lande,25610437.0
395,5501,Australie et Nouvelle-Z√©lande,Océanie,2009,162420.7221,3618.4552,14437.4355,-245574.3171,30062.7426,24625.5553,232208.7835,94753.2693,375985.20700000005,692537.8534000001,0.975,0.31,Australie et Nouvelle-Z√©lande,26074188.0
396,5501,Australie et Nouvelle-Z√©lande,Océanie,2010,141572.8198,2670.4854,14732.443000000001,-247184.8047,33642.59,24949.4677,231376.2442,94926.2277,372905.3076,669590.7807,0.6970000000000001,0.31,Australie et Nouvelle-Z√©lande,26524741.0
397,5502,M√©lan√©sie,Océanie,1990,6662.6241,244.0216,850.1009,-2845.3675,117.929,2763.2574,65138.1534,991.3589999999999,2290.2759,76212.3538,0.41700000000000004,0.218,M√©lan√©sie,5973187.0
398,5502,M√©lan√©sie,Océanie,1991,6691.8582,680.9785,873.8534,-2845.4601,121.5376,2698.8817,65138.246,961.227,2318.688,76639.8103,0.254,0.218,M√©lan√©sie,6106780.0
399,5502,M√©lan√©sie,Océanie,1992,6762.9209,602.2468,898.6239,-2845.5524,136.6021,2329.5757,65138.3382,1098.7365,2388.5126,76510.0043,0.596,0.218,M√©lan√©sie,6244610.0
400,5502,M√©lan√©sie,Océanie,1993,6874.7245,267.285,925.1753,-2845.6443,141.7669,2520.4063,65138.4302,1040.12,2447.0256,76509.28949999998,0.22899999999999998,0.218,M√©lan√©sie,6386741.999999999
401,5502,M√©lan√©sie,Océanie,1994,6942.7063,580.113,953.0049,-2845.7358,151.1508,2262.5756,65138.5217,1012.1724,2439.8359,76634.3448,0.252,0.218,M√©lan√©sie,6533045.0
402,5502,M√©lan√©sie,Océanie,1995,7019.6839,180.9878,977.9815,-2845.8271,192.1848,2387.1388,65138.6129,1057.5919999999999,2377.9824,76486.337,0.8490000000000001,0.218,M√©lan√©sie,6683217.0
403,5502,M√©lan√©sie,Océanie,1996,6996.7142,159.6351,1003.6431,-2845.9179,195.7832,2026.3643,54382.8391,1144.6139,2238.0246,65301.69959999999,0.9690000000000001,0.218,M√©lan√©sie,6838119.000000001
404,5502,M√©lan√©sie,Océanie,1997,7173.5181,1853.9272,1027.6708,-2846.0085,202.0868,2256.0125,165687.8458,1166.1408,2238.7479,178759.94139999998,0.41,0.218,M√©lan√©sie,6997484.0
405,5502,M√©lan√©sie,Océanie,1998,6978.5291,190.1959,1050.065,-2846.0987,150.3595,2204.1195,56626.7872,1124.2814,3196.0586,68674.2975,1.355,0.218,M√©lan√©sie,7158655.0
406,5502,M√©lan√©sie,Océanie,1999,6948.0883,102.3759,1077.5529,-2846.1886,155.873,2388.9188,56593.2617,1092.8584,2361.0277,67873.7681,0.941,0.218,M√©lan√©sie,7318090.999999999
407,5502,M√©lan√©sie,Océanie,2000,6903.0352,148.8368,1103.5903,-2846.2781,194.0001,1625.8628,56424.9799,1172.0634,2667.533,67393.6234,0.7190000000000001,0.218,M√©lan√©sie,7473493.0
408,5502,M√©lan√©sie,Océanie,2001,6977.6146,137.4059,1129.6305,-2595.5663,198.4827,1845.146,53595.5451,1155.1369,2473.321,64916.716400000005,0.649,0.218,M√©lan√©sie,7623210.0
409,5502,M√©lan√©sie,Océanie,2002,7088.5268,157.7892,1157.3837,-2595.4429999999998,211.3052,1919.3512,70978.0856,1272.3377,2802.3738,82991.71020000002,0.685,0.218,M√©lan√©sie,7768712.0
410,5502,M√©lan√©sie,Océanie,2003,7074.9153,109.6656,1184.7992,-2595.3186,235.1832,1743.6557,59793.3877,1357.2005,2766.895,71670.38360000002,0.39299999999999996,0.218,M√©lan√©sie,7914673.000000001
411,5502,M√©lan√©sie,Océanie,2004,7228.8548,162.611,1212.999,-2595.1932,256.8327,1778.1867,88663.9662,1386.8711,2954.6089,101049.7372,0.41600000000000004,0.218,M√©lan√©sie,8067654.0
412,5502,M√©lan√©sie,Océanie,2005,7074.9999,102.44200000000001,1242.0787,-2595.0668,287.0913,1880.8967,53900.362,1444.5620000000001,3625.0832,66962.449,0.7509999999999999,0.218,M√©lan√©sie,8232148.999999999
413,5502,M√©lan√©sie,Océanie,2006,7089.6735,97.5671,1271.1867,-1508.2579,303.2409,2087.7593,65568.3473,1535.0372,3968.4791,80413.03319999999,0.406,0.218,M√©lan√©sie,8410143.0
414,5502,M√©lan√©sie,Océanie,2007,7120.3318,99.0523,1301.7371,-1508.6124,317.2955,2462.3484,55535.2134,1619.2057,3654.6620000000003,70601.2338,0.7490000000000001,0.218,M√©lan√©sie,8599639.000000002
