Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","1991","1991","gigagrammes","61131.5782","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","1992","1992","gigagrammes","62636.9023","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","1993","1993","gigagrammes","63762.7102","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","1994","1994","gigagrammes","65419.4544","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","1995","1995","gigagrammes","68142.6976","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","1996","1996","gigagrammes","70662.3615","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","1997","1997","gigagrammes","72058.6463","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","1998","1998","gigagrammes","72091.8714","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","1999","1999","gigagrammes","73532.0267","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2000","2000","gigagrammes","75815.3013","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2001","2001","gigagrammes","75191.7259","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2002","2002","gigagrammes","76858.2619","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2003","2003","gigagrammes","78935.7594","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2004","2004","gigagrammes","78767.0847","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2005","2005","gigagrammes","80302.8001","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2006","2006","gigagrammes","78047.8937","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2007","2007","gigagrammes","79379.123","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2008","2008","gigagrammes","82115.6373","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2009","2009","gigagrammes","80601.7186","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6815","Transport","2010","2010","gigagrammes","80607.0972","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","1990","1990","gigagrammes","15186.1893","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","1991","1991","gigagrammes","15307.0848","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","1992","1992","gigagrammes","15773.8785","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","1993","1993","gigagrammes","16512.8891","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","1994","1994","gigagrammes","16248.1686","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","1995","1995","gigagrammes","17057.0008","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","1996","1996","gigagrammes","17445.1561","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","1997","1997","gigagrammes","17749.751","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","1998","1998","gigagrammes","18110.6683","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","1999","1999","gigagrammes","18120.1542","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
